sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179445869,1777179460869,45.0,60.0,516,516,0,0,0,0,0.002,0.112,0,154,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179450869,1777179465869,50.0,65.0,512,514,0,0,0,0,0.002,0.228,0,154,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179455869,1777179470869,55.0,70.0,501,517,0,0,0,0,0.014,0.279,0,94,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179460869,1777179475869,60.0,75.0,504,531,0,0,0,0,0.011,0.252,0,94,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179465869,1777179480869,65.0,80.0,491,523,0,0,0,0,0.011,0.113,0,70,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179470869,1777179485869,70.0,85.0,503,529,0,0,0,0,0.0,0.059,0,11,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179475869,1777179490869,75.0,90.0,511,517,0,0,0,0,0.0,0.0,0,2,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179480869,1777179495869,80.0,95.0,514,524,0,0,0,0,0.0,0.0,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179485869,1777179500869,85.0,100.0,509,523,0,0,0,0,0.0,0.0,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179490869,1777179505869,90.0,105.0,506,519,0,0,0,0,0.0,0.0,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179495869,1777179510869,95.0,110.0,503,515,0,0,0,0,0.0,0.0,0,54,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179500869,1777179515869,100.0,115.0,504,510,0,0,0,0,0.004,0.053,0,56,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179505869,1777179520869,105.0,120.0,503,510,0,1,1,0,0.01,0.186,3,147,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179510869,1777179525869,110.0,125.0,513,515,0,1,1,0,0.012,0.299,3,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179515869,1777179530869,115.0,130.0,528,517,0,1,1,0,0.021,0.398,3,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179520869,1777179535869,120.0,135.0,531,516,0,0,0,0,0.095,0.453,0,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179525869,1777179540869,125.0,140.0,528,512,1,0,0,0,0.135,0.619,2,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179530869,1777179545869,130.0,145.0,515,515,1,0,0,0,0.318,0.783,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179535869,1777179550869,135.0,150.0,500,520,1,0,0,0,0.573,0.927,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180251004,1777180266004,0.0,15.0,523,540,0,0,0,0,0.0,0.13,0,132,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180256004,1777180271004,5.0,20.0,519,541,0,0,0,0,0.002,0.192,0,132,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180261004,1777180276004,10.0,25.0,527,546,0,0,0,0,0.002,0.176,0,132,D,
