"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_all_20260418_180219_002","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_180219_002.ndjson","entry_side","3","B","10580","5.09","1","1","0","0","1","004e","0019","3","1","1","1","1","b4-b5","0.24","0.092","","","","","no","0","0",""
"toyota_all_20260418_180724_003","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_180724_003.ndjson","entry_side","","C","8813","4.5","0","1","0","0","0","f986","fff6","3","1","1","1","1","b4-b5","0.424","0.244","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260329_072804_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260329_072804_000.ndjson","companion_control","","D","348","0.16","0","0","0","0","0","fef0","fef0","3","0","0","1","1","dual","0.06","0.06","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","entry_side","","C","5310","3.02","0","1","0","0","0","0000","fff5","3","1","1","1","1","b4-b5","0.314","0.156","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_163437_001","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163437_001.ndjson","entry_side","3","B","5309","2.55","1","1","0","0","1","ff8b","ff8b","2","1","1","1","1","b6-b7","0.02","0.145","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_163710_002","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163710_002.ndjson","entry_side","3","B","5259","2.55","1","1","0","0","1","0099","0099","3","1","1","1","1","dual","0.141","0.123","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_163943_003","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163943_003.ndjson","entry_side","1","B","5277","2.51","1","0","0","0","0","f986","ff85","3","1","1","1","1","b4-b5","0.321","0.029","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_175241_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_175241_000.ndjson","companion_control","","D","5247","2.43","0","0","0","0","0","ff9f","ff9f","3","0","0","1","1","b6-b7","0.289","0.733","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_175506_001","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_175506_001.ndjson","entry_side","","C","5248","2.46","0","1","0","0","0","067a","2474","2","1","1","1","1","b4-b5","0.74","0.149","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_175734_002","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_175734_002.ndjson","entry_side","3","B","5286","2.46","1","1","0","0","1","0033","0033","3","1","1","1","1","b4-b5","0.089","0.004","","","","","no","0","0",""
